timestamp,disconnectCount
2025-06-27T22:06:04.468Z,1
2025-06-27T22:06:09.811Z,2
2025-06-27T22:06:15.169Z,3
2025-06-27T22:06:20.552Z,4
2025-06-27T22:06:25.948Z,5
2025-06-27T23:20:11.391Z,6
2025-06-27T23:20:16.288Z,7
2025-06-27T23:20:21.722Z,8
2025-06-27T23:20:27.072Z,9
2025-06-27T23:20:32.584Z,10
2025-06-28T13:54:54.992Z,1
2025-06-28T13:55:00.345Z,2
2025-06-28T13:55:05.767Z,3
2025-06-28T13:55:11.219Z,4
2025-06-28T13:55:16.656Z,5
2025-06-28T18:00:07.705Z,1
2025-06-28T18:00:13.247Z,2
2025-06-28T18:00:18.611Z,3
2025-06-28T18:00:24.053Z,4
2025-06-28T18:00:29.506Z,5
2025-06-28T18:38:49.923Z,1
2025-06-28T18:38:55.375Z,2
2025-06-28T18:39:00.828Z,3
2025-06-28T18:39:06.441Z,4
2025-06-28T18:39:11.766Z,5
2025-06-28T21:14:51.303Z,1
2025-06-28T21:14:56.720Z,2
2025-06-28T21:15:02.253Z,3
2025-06-28T21:15:07.890Z,4
2025-06-28T21:15:13.438Z,5
2025-06-28T21:39:01.828Z,6
2025-06-28T21:39:07.353Z,7
2025-06-28T21:39:12.636Z,8
2025-06-28T21:39:18.024Z,9
2025-06-28T21:39:23.574Z,10
2025-06-28T21:47:35.434Z,11
2025-06-28T21:47:40.873Z,12
2025-06-28T21:47:46.287Z,13
2025-06-28T21:47:51.881Z,14
2025-06-28T21:47:57.393Z,15
2025-06-28T22:55:41.564Z,16
2025-06-28T22:55:46.864Z,17
2025-06-28T22:55:52.388Z,18
2025-06-28T22:55:57.804Z,19
2025-06-28T22:56:03.374Z,20
2025-06-29T00:20:28.324Z,1
2025-06-29T00:20:33.700Z,2
2025-06-29T00:20:39.078Z,3
2025-06-29T00:20:44.507Z,4
2025-06-29T00:20:49.960Z,5
2025-06-29T12:55:22.208Z,1
2025-06-29T12:55:27.633Z,2
2025-06-29T12:55:33.004Z,3
2025-06-29T12:55:38.496Z,4
2025-06-29T12:55:43.974Z,5
2025-06-29T15:01:02.850Z,1
2025-06-29T15:01:08.296Z,2
2025-06-29T15:01:13.726Z,3
2025-06-29T15:01:19.253Z,4
2025-06-29T15:01:24.692Z,5
2025-06-29T15:20:51.548Z,1
2025-06-29T15:20:56.972Z,2
2025-06-29T15:21:02.370Z,3
2025-06-29T15:21:07.692Z,4
2025-06-29T15:21:13.119Z,5
2025-06-29T19:43:44.968Z,1
2025-06-29T19:43:50.464Z,2
2025-06-29T19:43:55.833Z,3
2025-06-29T19:44:01.262Z,4
2025-06-29T19:44:06.671Z,5
2025-06-30T17:35:12.758Z,1
2025-06-30T17:35:18.065Z,2
2025-06-30T17:35:23.478Z,3
2025-06-30T17:35:28.790Z,4
2025-06-30T17:35:34.106Z,5
2025-07-01T10:13:23.578Z,1
2025-07-01T10:13:29.049Z,2
2025-07-01T10:13:34.578Z,3
2025-07-01T10:13:40.113Z,4
2025-07-01T10:13:45.591Z,5
2025-07-03T23:12:11.110Z,1
2025-07-03T23:12:16.604Z,2
2025-07-03T23:12:21.965Z,3
2025-07-03T23:12:27.335Z,4
2025-07-03T23:12:32.703Z,5
2025-07-04T21:25:40.032Z,1
2025-07-04T21:25:45.372Z,2
2025-07-04T21:25:50.728Z,3
2025-07-04T21:25:56.078Z,4
2025-07-04T21:26:01.478Z,5
2025-07-08T16:01:06.567Z,1
2025-07-08T16:01:11.965Z,2
2025-07-08T16:01:17.360Z,3
2025-07-08T16:01:22.669Z,4
2025-07-08T16:01:28.116Z,5
2025-07-08T16:06:24.995Z,6
2025-07-08T16:06:30.341Z,7
2025-07-08T16:06:35.690Z,8
2025-07-08T16:06:41.076Z,9
2025-07-08T16:06:46.469Z,10
2025-07-08T16:20:59.712Z,11
2025-07-08T16:21:05.026Z,12
2025-07-08T16:21:10.444Z,13
2025-07-08T16:21:15.801Z,14
2025-07-08T16:21:21.270Z,15
2025-07-08T16:40:17.352Z,16
2025-07-08T16:40:22.707Z,17
2025-07-08T16:40:28.079Z,18
2025-07-08T16:40:33.484Z,19
2025-07-08T16:40:39.033Z,20
2025-07-09T19:07:36.803Z,1
2025-07-09T19:07:42.148Z,2
2025-07-09T19:07:47.619Z,3
2025-07-09T19:07:53.004Z,4
2025-07-09T19:07:58.351Z,5
2025-07-09T23:21:42.776Z,1
2025-07-09T23:21:48.188Z,2
2025-07-09T23:21:53.606Z,3
2025-07-09T23:21:59.000Z,4
2025-07-09T23:22:04.401Z,5
